UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel,AgeGroup,DurationCategory,ComfortScore
1,40,Male,Htc Vive,13.6,8,5,Middle (30-44),Short (<20 min),6.11
2,43,Female,Htc Vive,19.95,2,2,Middle (30-44),Short (<20 min),5.69
3,27,Male,Playstation Vr,16.54,4,2,Young (18-29),Short (<20 min),4.58
4,33,Male,Htc Vive,42.57,6,3,Middle (30-44),Long (>40 min),4.72
5,51,Male,Playstation Vr,22.45,4,2,Senior (45+),Medium (20-40 min),4.58
6,46,Other,Oculus Rift,28.28,7,4,Senior (45+),Medium (20-40 min),5.42
7,49,Other,Oculus Rift,52.3,7,3,Senior (45+),Long (>40 min),4.17
8,42,Other,Oculus Rift,22.96,8,2,Middle (30-44),Medium (20-40 min),2.36
9,56,Female,Playstation Vr,16.86,5,1,Senior (45+),Short (<20 min),2.78
10,60,Male,Oculus Rift,34.47,5,4,Senior (45+),Medium (20-40 min),6.53
11,37,Male,Oculus Rift,43.37,2,1,Middle (30-44),Long (>40 min),4.44
12,23,Other,Playstation Vr,25.11,8,4,Young (18-29),Medium (20-40 min),4.86
13,45,Male,Playstation Vr,58.14,5,3,Senior (45+),Long (>40 min),5.28
14,28,Female,Playstation Vr,25.98,5,5,Young (18-29),Medium (20-40 min),7.78
15,23,Male,Htc Vive,57.15,7,4,Young (18-29),Long (>40 min),5.42
16,34,Female,Oculus Rift,44.7,1,3,Middle (30-44),Long (>40 min),7.5
17,48,Male,Playstation Vr,22.86,10,5,Senior (45+),Medium (20-40 min),5.0
18,54,Male,Playstation Vr,36.81,4,2,Senior (45+),Medium (20-40 min),4.58
19,35,Other,Oculus Rift,48.29,10,1,Middle (30-44),Long (>40 min),0.0
20,27,Other,Oculus Rift,15.8,7,2,Young (18-29),Short (<20 min),2.92
21,25,Other,Oculus Rift,36.5,10,1,Young (18-29),Medium (20-40 min),0.0
22,57,Male,Oculus Rift,23.58,4,3,Senior (45+),Medium (20-40 min),5.83
23,38,Female,Oculus Rift,35.35,4,5,Middle (30-44),Medium (20-40 min),8.33
24,60,Female,Oculus Rift,44.65,10,5,Senior (45+),Long (>40 min),5.0
